Role,Module,Screen,Issue Found,Issue Fixed,Status,Route,Pass/Fail,HTTP
CIO,Executive Overview,Main Dashboard,,,PASS,/dashboard,PASS,200
CIO,Executive Overview,CIO Evidence Analytics,,,PASS,/dashboard/cio,PASS,200
CIO,Executive Overview,Vertical Head Dashboard,,,PASS,/dashboard/vertical-head,PASS,200
CIO,Executive Overview,Compliance Dashboard,,,PASS,/dashboard/compliance-head,PASS,200
CIO,Executive Overview,Functional Head Dashboard,,,PASS,/dashboard/functional-head,PASS,200
CIO,Executive Overview,Demo Overview,,,PASS,/mvp/demo-overview,PASS,200
CIO,Executive Overview,Enterprise,,,PASS,/mvp/enterprise,PASS,200
CIO,Executive Overview,Pan India,,,PASS,/mvp/pan-india,PASS,200
CIO,Executive Overview,Reports,,,PASS,/mvp/reports,PASS,200
CIO,Executive Overview,Trends,,,PASS,/mvp/trends,PASS,200
CIO,Frameworks,Framework Loader,,,PASS,/mvp/framework-loader,PASS,200
CIO,Frameworks,Framework Administration,,,PASS,/mvp/framework-admin,PASS,200
CIO,Operations,Scheduler,,,PASS,/mvp/scheduler,PASS,200
CIO,Operations,AI Ops Assistant,,,PASS,/mvp/ai-ops-assistant,PASS,200
CIO,Operations,Bulk Upload,,,PASS,/mvp/upload,PASS,200
CIO,Operations,Bulk Upload Hub,,,PASS,/mvp/bulk-upload,PASS,200
CIO,Operations,Integrations,,,PASS,/mvp/integrations,PASS,200
CIO,Operations,Onboarding,,,PASS,/mvp/onboarding,PASS,200
CIO,Operations,Integrations Hub,,,PASS,/mvp/integrations-hub,PASS,200
CIO,Governance,Audit Prep,,,PASS,/mvp/audit-prep,PASS,200
CIO,Governance,Evidence Health,,,PASS,/mvp/evidence-health,PASS,200
CIO,Governance,Evidence Reuse,,,PASS,/mvp/reuse,PASS,200
CIO,Governance,Lifecycle,,,PASS,/mvp/lifecycle,PASS,200
CIO,Governance,Completeness,,,PASS,/mvp/completeness,PASS,200
CIO,Governance,App Comparison,,,PASS,/mvp/comparison,PASS,200
CIO,Governance,Search,,,PASS,/mvp/search,PASS,200
CIO,Governance,Evidence Approval Analytics,,,PASS,/mvp/evidence-approval,PASS,200
CIO,Governance,Close Gap Workflow,,,PASS,/mvp/workflow/close-gap,PASS,200
CIO,Governance,Assign Owner Workflow,,,PASS,/mvp/workflow/assign-owner,PASS,200
CIO,Governance,Upload Missing Workflow,,,PASS,/mvp/workflow/upload-missing,PASS,200
CIO,Governance,Mock Audit,,,PASS,/mvp/workflow/mock-audit,PASS,200
CIO,Enterprise GRC,Risk Register,,,PASS,/mvp/risk-register,PASS,200
CIO,Enterprise GRC,Exceptions / TD,,,PASS,/mvp/exceptions,PASS,200
CIO,Enterprise GRC,Exception Governance,,,PASS,/mvp/exception-governance,PASS,200
CIO,Enterprise GRC,CMDB / Assets,,,PASS,/mvp/cmdb,PASS,200
CIO,Enterprise GRC,Regulatory Mapping,,,PASS,/mvp/regulatory,PASS,200
CIO,Enterprise GRC,Executive Heatmaps,,,PASS,/mvp/heatmaps,PASS,200
CIO,Enterprise GRC,Cross-Tool Correlation,,,PASS,/mvp/correlation,PASS,200
CIO,Enterprise GRC,Governance Analytics,,,PASS,/mvp/governance-analytics,PASS,200
CIO,AI SDLC Governance,AI SDLC Home,,,PASS,/mvp/ai-sdlc,PASS,200
CIO,AI SDLC Governance,AI SDLC Control Tower,,,PASS,/mvp/ai-sdlc/control-tower,PASS,200
CIO,AI SDLC Governance,Application Onboarding,,,PASS,/mvp/ai-sdlc/onboarding,PASS,200
CIO,AI SDLC Governance,Requirements,,,PASS,/mvp/ai-sdlc/requirements,PASS,200
CIO,AI SDLC Governance,Design,,,PASS,/mvp/ai-sdlc/design,PASS,200
CIO,AI SDLC Governance,Development,,,PASS,/mvp/ai-sdlc/development,PASS,200
CIO,AI SDLC Governance,Testing,,,PASS,/mvp/ai-sdlc/testing,PASS,200
CIO,AI SDLC Governance,Go-Live,,,PASS,/mvp/ai-sdlc/golive,PASS,200
CIO,AI SDLC Governance,Evidence Collection,,,PASS,/mvp/ai-sdlc/evidence,PASS,200
CIO,AI SDLC Governance,Findings & Remediation,,,PASS,/mvp/ai-sdlc/findings,PASS,200
CIO,AI SDLC Governance,AI SDLC Reports,,,PASS,/mvp/ai-sdlc/reports,PASS,200
CIO,AI SDLC Governance,AI Governance,,,PASS,/mvp/ai-governance,PASS,200
CIO,AI SDLC Governance,AI Registry,,,PASS,/mvp/ai-registry,PASS,200
CIO,AI SDLC Governance,SDLC Gates,,,PASS,/mvp/sdlc-gates,PASS,200
CIO,AI SDLC Governance,Governance Quality,,,PASS,/mvp/governance-quality,PASS,200
CIO,Executive Overview,Compliance Dashboard,,,PASS,/dashboard/compliance-head,PASS,200
CIO,Frameworks,Framework — ASST,,,PASS,/framework/ASST,PASS,200
CIO,Frameworks,Framework — AppSec,,,PASS,/framework/AppSec,PASS,200
CIO,Frameworks,Framework — CSITE,,,PASS,/framework/CSITE,PASS,200
CIO,Frameworks,Framework — DB Baselining,,,PASS,/framework/DB%20Baselining,PASS,200
CIO,Frameworks,Framework — DPSC,,,PASS,/framework/DPSC,PASS,200
CIO,Frameworks,Framework — ISG,,,PASS,/framework/ISG,PASS,200
CIO,Frameworks,Framework — ISO27001,,,PASS,/framework/ISO27001,PASS,200
CIO,Frameworks,Framework — ITDRM,,,PASS,/framework/ITDRM,PASS,200
CIO,Frameworks,Framework — ITPP,,,PASS,/framework/ITPP,PASS,200
